ClipID,Boredom,Engagement,Confusion,Frustration 
1100011002,0,2,0,0
1100011003,0,2,0,0
1100011004,0,3,0,0
1100011005,0,3,0,0
1100011006,0,3,0,0
1100011007,1,2,0,0
1100011008,0,3,0,0
1100011009,0,2,1,0
1100011010,0,3,0,0
1100011011,0,3,0,0
1100011012,0,2,2,0
1100011013,0,3,0,0
1100011014,0,3,0,0
1100011015,0,3,0,0
1100011016,0,3,0,0
1100011017,0,3,0,0
1100011018,0,3,0,0
1100011019,0,3,0,0
1100011020,0,3,0,0
1100011021,0,3,0,0
1100011022,0,3,0,0
1100011023,0,3,0,0
1100011025,0,3,0,0
1100011026,0,3,0,0
1100011027,0,3,0,0
1100011028,0,3,0,0
1100011029,0,3,0,0
1100011031,0,3,0,0
1100011032,0,3,0,0
1100011034,0,3,0,0
1100011035,0,3,0,0
1100011037,0,3,0,0
1100011038,0,3,0,0
1100011040,1,2,0,0
1100011046,0,3,0,0
1100011047,0,3,0,0
1100011048,1,2,1,1
1100011049,0,3,0,0
1100011050,0,3,0,0
1100011051,0,3,1,0
1100011052,1,3,0,1
1100011053,0,3,0,0
1100011054,0,3,0,0
1100011055,0,3,0,0
1100011056,0,3,0,0
1100011057,1,3,0,0
1100011058,0,3,0,0
1100011059,0,3,1,0
1100011060,1,3,1,1
1100011062,0,3,0,0
1100011063,0,3,0,0
1100011064,0,3,0,0
1100011066,1,3,0,0
1100011067,0,3,0,0
1100011068,0,3,0,0
1100011069,0,3,0,0
1100011070,0,3,0,0
1100011071,0,3,0,0
1100011072,0,3,0,0
1100011073,0,3,0,0
1100011075,0,3,0,0
1100011076,0,3,0,0
1100011078,0,2,0,0
1100011079,0,3,0,0
1100011080,0,3,0,0
1100011081,0,3,0,0
1100011082,0,3,0,0
1100011083,0,3,0,0
1100012001,0,3,0,0
1100012003,0,3,0,0
1100012007,0,3,0,1
1100012008,0,3,0,0
1100012009,0,3,0,0
1100012010,0,3,3,0
1100012011,0,3,0,1
1100012013,0,3,0,0
1100012014,0,3,0,0
1100012015,0,3,0,0
1100012016,0,3,0,0
1100012017,0,3,1,0
1100012018,0,3,0,0
1100012021,1,2,0,0
1100012022,0,3,0,0
1100012023,0,3,0,0
1100012025,0,3,0,0
1100012026,1,3,0,0
1100012027,0,3,0,0
1100012028,0,3,0,0
1100012030,0,3,0,0
1100012031,0,3,0,0
1100012032,0,3,0,0
1100012033,0,3,0,0
1100012036,0,3,0,0
1100012037,0,3,0,0
1100012038,0,3,0,0
1100012041,0,3,0,0
1100012042,0,2,0,0
1100012045,0,2,0,0
1100012046,0,3,0,0
1100012047,0,2,0,0
1100012049,0,3,0,0
1100012050,0,3,0,0
1100012051,0,3,1,0
1100012052,0,3,0,0
1100012057,1,3,1,1
1100012059,0,3,0,0
1100012060,0,3,0,0
1100012061,0,3,0,0
1100012062,0,3,0,0
1100012063,0,3,0,0
1100012064,0,3,0,0
1100012065,0,3,1,1
1100012066,0,3,0,0
1100012069,0,3,0,0
1100021001,0,2,0,0
1100021003,0,1,0,0
1100021015,2,2,0,1
1100021038,0,2,0,0
1100021039,1,2,2,2
1100021040,0,3,0,0
1100021045,1,3,0,1
1100021050,0,3,0,2
1100021055,3,1,0,0
1100022001,2,3,1,1
1100022002,2,2,0,0
1100022003,2,3,1,1
1100022004,2,3,0,1
1100022005,2,1,0,0
1100022008,2,2,1,1
1100022009,2,3,0,0
1100022014,0,3,1,0
1100022019,1,3,1,1
1100022020,0,2,0,0
1100022021,1,2,1,0
1100022022,3,2,0,1
1100022026,0,3,0,0
1100022027,1,3,1,1
1100022028,0,3,0,0
1100022029,0,3,0,0
1100022031,0,3,1,1
1100022035,0,2,1,0
1100022038,1,3,1,1
1100022039,1,3,0,1
1100022045,0,3,0,0
1100022046,0,3,0,0
1100022047,1,3,3,0
1100022048,0,2,2,0
1100022049,0,2,3,0
1100022051,0,3,3,1
1100022052,0,2,2,0
1100022053,0,2,2,1
1100022054,1,2,0,0
1100022055,1,2,0,0
1100022056,0,3,0,0
1100022057,0,2,0,0
1100041006,0,3,0,0
1100041015,2,3,0,0
1100041016,0,3,0,0
1100041017,2,2,0,2
1100041018,2,2,0,0
1100041021,0,2,0,0
1100041022,2,2,0,0
1100041023,2,2,2,1
1100041024,2,2,0,0
1100041029,0,3,0,0
1100041034,0,2,0,0
1100041044,0,2,0,0
1100041051,0,3,0,0
1100041052,0,2,0,0
1100042009,2,2,1,1
1100042010,2,2,0,0
1100042011,2,2,1,1
1100042017,2,2,0,0
1100042018,0,2,0,0
1100042019,0,3,0,0
1100042020,0,3,0,0
1100042023,3,1,1,0
1100042024,2,2,1,0
1100042025,1,2,0,0
1100042026,2,1,1,0
1100042029,0,3,1,0
1100042030,0,2,1,0
1100042031,2,3,2,0
1100042034,1,2,0,0
1100042040,1,2,0,0
1100042041,0,3,0,0
1100042058,1,2,2,0
1100042059,2,2,0,1
1100042060,2,2,0,0
1100051002,1,2,0,0
1100051004,2,2,3,1
1100051006,2,2,1,1
1100051007,2,1,2,1
1100051008,2,2,2,0
1100051009,2,2,0,0
1100051011,1,2,0,0
1100051012,1,2,0,0
1100051013,2,2,0,0
1100051014,1,2,0,0
1100051016,2,1,2,0
1100051017,2,2,1,2
1100051019,2,3,1,0
1100051020,1,2,1,0
1100051021,2,2,2,0
1100051022,2,2,0,0
1100051023,1,2,0,0
1100051024,2,2,1,1
1100051025,2,2,2,0
1100051026,2,2,1,0
1100051028,2,2,0,0
1100051029,2,2,0,0
1100051030,2,1,0,0
1100051031,2,1,0,0
1100051032,1,3,1,0
1100051033,2,2,0,0
1100051034,2,2,2,0
1100051035,2,2,1,0
1100051036,2,2,2,1
1100051037,2,2,0,2
1100051039,2,2,2,3
1100051041,1,3,0,0
1100051042,2,2,2,0
1100051044,0,2,0,0
1100051045,1,3,1,0
1100051046,0,2,0,0
1100051048,2,2,0,0
1100051049,2,2,0,0
1100051050,0,3,0,0
1100051051,1,2,0,0
1100051052,1,2,1,1
1100051053,2,1,0,0
1100051054,2,2,0,0
1100051055,0,2,0,1
1100051056,1,2,1,1
1100051057,2,3,2,0
1100051059,0,3,1,0
1100051061,2,2,0,0
1100051062,2,3,2,0
1100051064,2,3,0,0
1100051065,2,2,0,0
1100051066,3,3,2,0
1100051067,2,3,2,1
1100051068,1,3,1,0
1100051071,0,3,0,0
1100051076,2,2,0,0
1100051078,0,2,0,1
1100051079,0,3,0,0
1100052001,2,2,0,1
1100052002,1,2,1,0
1100052006,2,2,0,0
1100052007,1,2,1,0
1100052008,0,3,0,0
1100052009,0,2,0,0
1100052014,3,1,0,0
1100052023,1,2,1,1
1100052024,1,2,0,0
1100052026,1,2,0,0
1100052027,2,2,0,0
1100052028,2,3,0,0
1100052030,2,2,1,0
1100052031,1,2,0,0
1100052032,1,2,0,1
1100052033,1,2,0,0
1100052035,0,2,0,0
1100052036,1,2,0,1
1100052037,2,2,0,0
1100052038,2,2,0,0
1100052039,1,2,0,0
1100052040,2,3,1,0
1100052041,2,2,0,0
1100052047,1,2,0,0
1100052048,2,2,0,0
1100052049,0,2,0,0
1100052051,2,2,2,3
1100052055,1,2,0,0
1100052057,3,2,0,0
1100052060,0,3,0,0
1100052061,1,2,1,1
1100052062,3,2,0,1
1100052065,2,3,0,0
1100052068,3,2,2,0
1100052070,1,2,0,1
1100061009,0,3,0,0
1100061010,1,3,0,0
1100061011,0,3,0,0
1100061012,0,2,0,0
1100061013,1,3,0,0
1100061015,3,2,0,0
1100061016,0,2,0,0
1100061018,2,2,0,0
1100061019,0,2,0,0
1100061022,0,3,0,0
1100061023,0,2,0,0
1100061025,2,2,0,0
1100061027,0,3,0,0
1100061028,1,2,0,0
1100061030,0,2,0,0
1100061031,0,2,0,0
1100061032,0,2,0,0
1100061033,0,3,0,0
1100061034,0,2,0,0
1100061035,0,2,0,0
1100061036,1,3,0,0
1100061038,0,3,0,0
1100061039,0,2,0,0
1100061040,0,3,0,0
1100061042,0,3,0,0
1100061043,0,3,0,0
1100061044,0,2,0,0
1100061046,0,3,0,0
1100061047,0,3,0,0
1100061048,0,3,0,0
1100061049,0,2,0,0
1100061050,2,2,0,0
1100061051,0,3,0,0
1100061053,2,2,0,1
1100061057,1,2,0,0
1100061058,0,2,0,0
1100061061,0,3,0,0
1100061063,0,3,1,0
1100061064,0,3,0,0
1100061067,0,3,0,0
1100061068,0,3,0,0
1100061069,0,3,0,0
1100061073,0,2,0,0
1100061074,0,2,0,0
1100061077,0,2,0,0
1100061078,0,2,0,0
1100062004,1,3,0,0
1100062005,0,3,2,2
1100062007,0,3,1,0
1100062008,2,1,1,2
1100062009,0,3,0,0
1100062016,1,2,0,0
1100062017,0,3,0,0
1100062024,2,2,0,0
1100062028,2,2,1,0
1100062029,1,2,1,0
1100062036,3,2,0,0
1100062037,2,2,0,0
1100062044,2,2,0,0
1100062045,2,1,1,0
1100062046,2,2,0,0
1100062049,2,1,2,0
1100062051,3,2,0,0
1100062053,0,3,0,0
1100062054,2,2,0,1
1100062059,1,2,0,1
1100062060,2,2,0,0
1100062061,0,2,0,0
1100062062,1,2,0,0
1100062063,2,2,0,0
1100062064,2,2,0,0
1100062065,0,2,0,0
1100062066,3,3,0,0
1100062067,0,3,0,0
1100062068,2,2,1,0
1100062069,1,2,0,0
1100062070,2,2,0,0
1100062071,1,3,1,1
1100062072,2,3,1,2
1100071005,2,2,0,0
1100071006,2,2,0,0
1100071007,2,2,0,0
1100071008,2,3,0,0
1100071009,2,2,0,0
1100071010,2,2,0,0
1100071011,2,2,0,0
1100071012,0,3,0,0
1100071013,0,2,0,0
1100071014,0,3,0,0
1100071015,2,2,2,2
1100071016,1,3,0,0
1100071017,1,2,0,1
1100071018,0,2,0,0
1100071019,1,2,0,0
1100071020,2,2,0,0
1100071021,2,3,0,0
1100071022,2,2,0,0
1100071023,2,2,0,0
1100071024,2,2,0,0
1100071026,2,2,0,1
1100071027,2,2,0,0
1100071028,2,2,0,0
1100071029,2,2,0,0
1100071030,0,3,0,0
1100071031,3,3,0,1
1100071032,2,2,1,0
1100071033,2,2,0,0
1100071034,1,3,1,0
1100071035,1,2,0,0
1100071036,0,2,0,0
1100071037,2,2,0,0
1100071040,2,3,0,0
1100071041,2,2,0,0
1100071042,2,2,1,0
1100071043,2,3,2,1
1100071044,2,2,1,0
1100071045,2,2,0,0
1100071046,2,2,0,0
1100071047,2,2,0,0
1100071049,0,2,0,0
1100071050,2,3,0,0
1100071052,2,2,0,0
1100071054,0,2,0,0
1100071055,1,3,1,1
1100071056,1,2,1,1
1100071057,2,3,0,0
1100071058,2,2,0,0
1100071059,1,2,1,1
1100071060,0,2,1,0
1100071061,2,3,0,0
1100071062,2,2,0,0
1100071063,0,3,0,0
1100071064,0,3,0,0
1100071065,2,2,0,0
1100071066,2,2,0,0
1100071067,0,3,1,0
1100071069,0,2,1,0
1100071070,0,3,0,0
1100071071,2,2,0,0
1100071072,2,2,0,0
1100071073,0,2,0,0
1100071074,2,2,0,0
1100071075,2,2,0,0
1100071076,2,2,0,0
1100071077,0,3,1,0
1100071078,1,3,0,0
1100071079,0,3,0,0
1100071080,0,3,0,0
1100071081,0,3,0,0
1100072001,2,2,0,0
1100072002,0,3,0,0
1100072003,0,3,0,0
1100072004,2,2,0,0
1100072006,0,2,0,0
1100072007,0,2,0,0
1100072008,2,2,0,0
1100072009,1,3,0,0
1100072010,2,2,0,0
1100072011,2,3,0,0
1100072012,0,3,0,0
1100072013,0,2,0,0
1100072014,0,2,0,0
1100072015,2,2,0,1
1100072016,2,2,0,0
1100072021,2,2,0,0
1100072022,0,2,0,0
1100072023,0,3,0,0
1100072024,0,2,0,0
1100072027,1,2,0,0
1100072028,2,2,0,0
1100072029,0,2,0,0
1100072030,2,2,0,0
1100072031,2,2,0,0
1100072032,2,3,0,0
1100072033,1,3,0,0
1100072034,2,2,0,0
1100072036,2,2,0,0
1100072037,2,2,0,0
1100072038,1,2,1,1
1100072039,1,2,1,1
1100072040,1,2,0,0
1100072042,0,2,0,0
1100072043,2,3,1,0
1100072045,2,2,0,0
1100072047,2,3,0,0
1100072048,2,2,0,0
1100072049,1,2,0,0
1100072050,2,2,0,0
1100072051,0,3,0,0
1100072052,2,3,0,0
1100072053,0,2,0,0
1100072054,0,2,0,0
1100072056,2,2,1,1
1100072057,2,2,0,0
1100072058,1,3,0,0
1100072059,2,2,0,0
1100072060,2,2,0,0
1100072061,2,2,0,0
1100072062,2,2,0,0
1100072063,0,3,0,0
1100072065,1,2,1,1
1100072066,0,3,1,0
1100072067,2,2,0,0
1100072068,1,2,0,0
1100072069,1,2,0,0
1100072070,2,2,0,0
1100072071,1,2,1,1
1100072072,1,2,0,0
1100072073,2,2,0,0
1100072074,2,3,0,0
1100072075,3,2,0,0
1100072076,2,2,0,0
1100072077,0,3,0,0
1100072078,2,3,0,0
1100072079,0,2,0,1
1100072080,2,2,0,0
1100072081,1,2,0,0
1100072082,2,3,0,0
1100072083,1,2,0,0
1100072084,0,2,0,0
1100072085,2,2,0,0
1100081044,0,2,2,1
1100081045,0,2,0,0
1100081046,1,2,0,1
1100081047,0,3,0,0
1100081048,0,3,1,1
1100082002,0,3,0,0
1100082003,0,3,0,0
1100082018,1,2,1,1
1100082027,0,2,0,1
1100102003,2,2,0,3
1100111001,1,3,0,0
1100111002,0,3,0,0
1100111003,0,2,2,0
1100111008,1,2,0,0
1100111009,0,2,0,0
1100111010,0,3,0,0
1100111011,0,2,0,0
1100111012,1,2,0,0
1100111013,1,2,1,1
1100111014,2,2,0,2
1100111016,0,2,0,0
1100111017,0,2,0,0
1100111018,2,2,0,0
1100111019,1,2,0,0
1100111021,0,2,0,0
1100111023,1,3,0,0
1100111025,0,3,0,0
1100111026,0,2,0,0
1100111027,1,3,1,1
1100111029,2,2,1,0
1100111030,0,3,0,0
1100111032,1,2,0,0
1100112001,1,2,0,0
1100112002,2,1,0,0
1100112003,0,3,0,0
1100112004,0,3,0,0
1100112006,0,1,0,0
1100112007,1,3,0,0
1100112008,0,3,0,0
1100112009,0,3,0,0
1100112010,1,2,0,0
1100112011,1,2,2,0
1100112012,0,3,0,0
1100112013,0,2,0,0
1100112014,1,2,0,0
1100112015,0,3,0,0
1100112016,0,3,0,0
1100112017,1,3,0,0
1100112018,0,3,0,0
1100112021,0,2,1,1
1100112022,1,2,0,0
1100112024,0,3,0,0
1100112025,0,2,0,0
1100112026,2,2,0,0
1100112029,0,3,0,0
1100112030,0,3,0,0
1100112033,1,3,0,0
1100112035,0,2,0,0
1100112036,1,3,0,0
1100112037,0,3,0,0
1100112038,2,2,0,0
1100112039,0,3,0,0
1100112040,1,2,0,0
1100112041,0,2,0,0
1100112042,0,3,0,0
1100112043,1,2,0,0
1100112044,0,2,0,0
1100112045,2,2,1,1
1100112047,2,3,0,0
1100112048,0,2,0,0
1100112051,0,3,0,0
1100112052,0,3,0,0
1100112053,0,3,0,0
1100112056,1,2,0,0
1100112057,0,3,0,0
1100112058,0,2,0,0
1100112059,0,3,0,0
1100112060,1,3,0,0
1100112061,0,2,0,0
1100112062,1,2,1,0
1100112063,1,2,1,0
1100112064,1,3,0,0
1100112065,1,2,1,0
1100112066,0,3,0,0
1100112068,1,3,0,0
1100121002,1,3,0,0
1100121003,0,2,0,0
1100121004,1,3,0,0
1100121005,0,3,0,0
1100121006,0,3,0,0
1100121007,0,3,0,0
1100121008,1,3,0,0
1100121009,1,3,0,0
1100121010,0,3,0,0
1100121011,1,3,0,0
1100121012,0,3,0,0
1100121015,2,2,0,0
1100121016,1,3,2,0
1100121017,0,3,0,0
1100121018,1,2,0,2
1100121019,0,2,1,0
1100121020,2,3,0,0
1100121024,2,2,0,0
1100121025,2,2,2,2
1100121028,0,3,0,0
1100121031,2,2,0,0
1100121032,0,3,0,0
1100121033,0,2,1,0
1100121034,2,2,0,0
1100121035,0,3,0,0
1100121036,0,2,0,0
1100121038,0,3,0,1
1100121040,0,3,0,0
1100121041,1,2,1,0
1100121042,0,2,0,0
1100121044,0,3,0,0
1100121045,0,3,0,0
1100121047,0,3,0,0
1100121049,0,2,0,0
1100121050,2,3,1,0
1100121052,0,2,1,0
1100121053,0,3,0,0
1100121054,0,3,0,0
1100121056,1,2,0,0
1100121057,0,3,0,0
1100121059,0,2,1,0
1100121060,1,2,0,0
1100121061,1,2,0,1
1100121064,0,3,0,0
1100122001,0,2,0,0
1100122002,1,2,0,0
1100122003,0,2,0,0
1100122005,0,2,0,0
1100122006,1,3,0,0
1100122007,0,3,0,0
1100122008,1,3,1,1
1100122009,0,2,0,0
1100122010,1,3,0,0
1100122011,0,3,0,0
1100122012,0,3,0,0
1100122013,0,3,0,1
1100122014,2,3,0,0
1100122015,0,2,0,0
1100122017,1,2,0,0
1100122018,0,3,0,0
1100122019,0,3,0,0
1100122020,1,3,0,0
1100122021,2,2,0,0
1100122023,1,2,0,0
1100122024,0,3,1,1
1100122025,0,2,0,0
1100122026,0,2,0,0
